Age,Attrition,BusinessTravel,Department,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ManagerGender
32,Yes,Non-Travel,Data Science,3,Computer Science,12,4,Female,4,Data Analyst,3,4968,0,Yes,3,1,2,0,27,0,4,16,4,8,3,Female
60,Yes,Travel_Rarely,Data Science,3,Computer Science,13,4,Male,1,Data Scientist,2,10034,6,Yes,1,1,1,3,30,1,3,1,8,1,9,Female
59,Yes,Non-Travel,Project Management,3,Computer Science,14,4,Male,3,Project Manager,3,4079,1,No,9,4,2,2,6,0,2,12,7,5,9,Female
31,No,Travel_Frequently,IT Support,2,Computer Science,15,1,Female,1,System Administrator,1,9998,4,Yes,17,2,3,3,35,3,1,19,9,8,4,Male
44,Yes,Travel_Frequently,Cybersecurity,1,Computer Science,16,4,Male,3,Security Analyst,2,14698,2,No,16,3,2,3,2,4,1,11,1,0,1,Male
41,Yes,Non-Travel,Project Management,4,Information Technology,17,2,Female,3,Scrum Master,2,9283,1,Yes,16,4,4,3,30,1,2,16,10,3,1,Male
54,Yes,Non-Travel,Project Management,3,Engineering,18,4,Male,4,Scrum Master,1,4293,0,Yes,14,2,2,0,21,4,1,7,3,10,9,Male
43,Yes,Non-Travel,IT Support,3,Engineering,19,4,Male,1,Helpdesk Analyst,3,4808,2,No,2,3,1,2,29,3,4,2,9,8,2,Male
59,No,Travel_Rarely,Software Development,3,Information Technology,20,2,Female,4,Backend Developer,2,14149,4,Yes,5,1,2,0,35,4,1,13,6,8,3,Female
50,Yes,Non-Travel,Project Management,1,Information Technology,21,3,Male,3,Scrum Master,2,3144,5,No,19,3,1,2,9,5,1,11,7,6,4,Female
54,No,Non-Travel,Project Management,2,Business Administration,22,4,Female,2,Project Manager,4,6667,4,No,13,4,3,0,30,3,2,11,4,2,2,Female
54,No,Travel_Rarely,IT Support,1,Mathematics,23,1,Male,3,IT Specialist,2,6136,6,Yes,16,4,1,3,17,3,4,14,5,3,9,Male
46,Yes,Non-Travel,Cybersecurity,4,Engineering,24,2,Female,1,Network Security Specialist,2,7768,3,No,12,2,2,2,1,2,1,3,9,6,3,Male
60,Yes,Non-Travel,Project Management,1,Engineering,25,3,Male,2,Agile Coach,4,13519,0,No,10,2,2,1,12,4,2,4,3,6,4,Female
36,No,Non-Travel,IT Support,2,Engineering,26,4,Male,4,Helpdesk Analyst,1,4174,0,Yes,11,2,1,0,31,2,3,2,7,8,7,Male
44,Yes,Travel_Frequently,Project Management,2,Information Technology,27,2,Male,3,Scrum Master,2,4607,6,No,8,1,2,1,4,5,1,12,5,10,10,Male
49,Yes,Travel_Frequently,IT Support,1,Mathematics,28,1,Male,3,System Administrator,4,8023,0,No,15,4,3,0,35,3,3,4,3,8,4,Male
55,No,Non-Travel,Project Management,1,Engineering,29,2,Female,4,Project Manager,1,6930,3,No,9,4,1,3,36,1,4,10,4,0,7,Male
27,Yes,Non-Travel,Cybersecurity,2,Mathematics,30,4,Female,2,Network Security Specialist,3,5934,3,No,14,2,4,1,34,5,2,12,7,2,8,Male
46,Yes,Non-Travel,Project Management,1,Engineering,31,1,Male,4,Project Manager,3,8485,0,Yes,9,2,1,3,4,5,1,7,2,9,10,Male
35,Yes,Travel_Frequently,Project Management,3,Information Technology,32,2,Male,1,Agile Coach,4,10950,1,Yes,2,3,3,1,18,4,4,10,10,5,10,Female
40,No,Travel_Frequently,Software Development,1,Business Administration,33,1,Female,3,Backend Developer,2,4513,1,No,1,2,2,2,14,1,3,2,6,5,10,Female
49,No,Travel_Rarely,Cybersecurity,4,Information Technology,34,2,Male,1,Network Security Specialist,2,10126,6,Yes,7,3,2,0,40,2,4,9,2,7,9,Male
32,Yes,Non-Travel,Data Science,1,Business Administration,35,3,Male,3,Data Analyst,1,8203,4,Yes,9,1,3,0,38,3,1,9,8,2,9,Female
46,No,Non-Travel,Project Management,1,Computer Science,36,4,Female,3,Scrum Master,2,6537,6,No,13,3,4,0,11,0,2,3,6,10,5,Female
40,Yes,Travel_Frequently,IT Support,3,Information Technology,37,4,Male,3,IT Specialist,3,7049,4,Yes,7,3,2,2,10,3,1,3,7,10,2,Male
33,Yes,Travel_Frequently,Cybersecurity,4,Computer Science,38,2,Male,1,Security Analyst,3,4458,4,No,6,1,3,1,23,1,4,12,9,7,2,Male
55,No,Travel_Frequently,IT Support,4,Computer Science,39,4,Female,1,System Administrator,4,14491,1,Yes,11,2,1,1,33,0,2,1,3,9,5,Male
49,Yes,Travel_Frequently,Project Management,2,Engineering,40,3,Female,2,Agile Coach,4,10671,5,Yes,2,1,1,2,35,3,1,3,1,5,10,Male
55,No,Travel_Rarely,IT Support,2,Business Administration,41,4,Female,3,IT Specialist,3,5939,2,Yes,13,1,2,3,4,1,1,16,7,5,2,Male
47,Yes,Non-Travel,Software Development,4,Mathematics,42,2,Male,2,Full Stack Developer,3,4553,5,No,19,3,1,3,36,3,1,12,6,8,7,Female
33,Yes,Non-Travel,Project Management,2,Business Administration,43,3,Male,1,Agile Coach,2,12374,1,Yes,20,4,3,2,39,5,1,15,2,5,5,Female
31,No,Non-Travel,IT Support,3,Mathematics,44,4,Male,3,IT Specialist,2,5615,2,Yes,7,1,1,3,38,4,3,12,10,8,6,Male
37,No,Non-Travel,Cybersecurity,3,Engineering,45,4,Male,2,Security Analyst,4,5068,4,No,9,1,1,0,22,3,3,4,4,1,5,Male
23,No,Travel_Frequently,IT Support,3,Engineering,46,2,Female,4,System Administrator,2,11667,0,Yes,4,2,4,3,14,5,3,10,10,2,10,Male
40,No,Travel_Rarely,Software Development,2,Computer Science,47,3,Male,1,Backend Developer,4,4357,0,Yes,18,4,2,3,12,3,2,9,4,9,4,Male
26,No,Non-Travel,Cybersecurity,4,Business Administration,48,1,Male,1,Security Analyst,2,6163,1,No,5,2,3,1,21,3,4,2,6,3,3,Male
34,No,Travel_Rarely,Data Science,4,Computer Science,49,4,Male,1,Machine Learning Engineer,2,14920,1,Yes,20,4,4,0,36,1,2,16,2,4,1,Female
45,No,Non-Travel,Project Management,2,Computer Science,50,1,Female,4,Scrum Master,2,7751,5,No,15,1,4,1,35,1,2,18,8,2,10,Male
32,No,Travel_Frequently,IT Support,2,Computer Science,51,1,Male,3,System Administrator,3,10191,5,Yes,12,2,4,2,3,2,1,6,6,4,6,Male
50,Yes,Travel_Rarely,Cybersecurity,3,Computer Science,52,2,Male,4,Network Security Specialist,4,12487,4,Yes,17,3,2,2,15,5,4,3,4,2,2,Male
51,Yes,Non-Travel,Cybersecurity,3,Engineering,53,3,Female,2,Network Security Specialist,3,8454,0,Yes,11,4,4,0,9,2,1,6,1,0,1,Male
32,No,Non-Travel,Project Management,4,Information Technology,54,2,Male,3,Project Manager,4,3549,4,Yes,13,1,3,3,32,1,2,16,6,4,2,Female
37,No,Travel_Frequently,Software Development,2,Computer Science,55,3,Female,3,Full Stack Developer,1,3656,4,Yes,3,2,3,1,17,2,2,2,6,6,7,Male
60,No,Travel_Frequently,IT Support,2,Engineering,56,3,Female,4,System Administrator,4,7434,5,Yes,6,3,4,1,34,1,4,18,5,4,10,Male
46,No,Non-Travel,Software Development,2,Engineering,57,3,Male,1,Frontend Developer,2,7954,4,Yes,3,3,4,3,26,1,3,9,3,0,2,Female
55,Yes,Non-Travel,Software Development,1,Computer Science,58,2,Male,2,Backend Developer,3,7560,4,No,7,4,4,1,15,2,4,1,10,2,5,Male
56,Yes,Travel_Frequently,IT Support,3,Engineering,59,2,Male,4,Technical Support,3,3209,1,No,13,2,4,1,12,5,1,16,8,2,3,Male
27,No,Non-Travel,Cybersecurity,3,Engineering,60,2,Male,4,Security Analyst,3,14943,1,No,15,2,3,1,33,4,2,5,8,6,7,Male
24,Yes,Travel_Rarely,Project Management,2,Engineering,61,4,Male,2,Project Manager,1,9246,0,No,15,1,2,0,4,4,4,15,9,3,6,Female
59,No,Non-Travel,Cybersecurity,2,Computer Science,62,1,Male,4,Security Analyst,4,6413,2,Yes,6,1,1,1,36,3,3,15,2,2,7,Male
49,Yes,Non-Travel,Software Development,2,Information Technology,63,1,Female,2,Software Engineer,3,11924,2,No,11,2,4,2,18,1,2,15,10,4,10,Male
36,Yes,Travel_Rarely,IT Support,4,Engineering,64,2,Male,3,Helpdesk Analyst,1,3902,2,Yes,19,2,1,3,29,1,3,9,2,3,1,Male
29,Yes,Travel_Rarely,IT Support,2,Engineering,65,3,Male,4,Technical Support,3,8486,6,No,16,2,1,2,1,0,1,12,8,9,8,Male
50,Yes,Travel_Rarely,Software Development,3,Computer Science,66,2,Male,3,Backend Developer,4,12739,1,Yes,20,3,1,2,37,0,1,9,8,9,4,Male
26,Yes,Travel_Frequently,IT Support,4,Engineering,67,4,Male,1,System Administrator,4,3777,5,Yes,13,2,4,2,40,3,4,7,7,5,6,Male
40,Yes,Travel_Frequently,Project Management,1,Business Administration,68,3,Female,4,Project Manager,1,7360,3,Yes,18,2,3,2,4,1,1,5,5,1,3,Male
28,Yes,Non-Travel,Data Science,4,Mathematics,69,4,Female,3,Data Scientist,4,7068,6,No,6,2,4,2,34,2,1,5,6,3,4,Female
40,No,Non-Travel,Cybersecurity,1,Information Technology,70,1,Female,3,Network Security Specialist,2,3830,3,Yes,15,2,2,3,23,4,2,11,3,7,4,Male
33,No,Travel_Frequently,Cybersecurity,4,Engineering,71,2,Female,2,Cybersecurity Engineer,2,4222,3,No,13,3,3,0,11,0,1,10,9,10,5,Male
42,No,Non-Travel,Software Development,3,Mathematics,72,1,Female,3,Full Stack Developer,1,8919,5,Yes,16,3,4,3,19,2,1,10,7,6,5,Female
29,No,Travel_Rarely,Project Management,1,Business Administration,73,1,Female,4,Scrum Master,1,14991,4,Yes,1,4,3,2,5,3,1,19,5,4,9,Male
24,No,Non-Travel,Cybersecurity,3,Information Technology,74,1,Male,4,Security Analyst,2,13545,0,No,3,4,3,1,24,3,2,5,2,3,7,Male
52,No,Travel_Rarely,Software Development,1,Business Administration,75,3,Female,2,Backend Developer,2,12962,2,Yes,19,4,1,3,1,3,4,19,2,5,8,Male
60,No,Travel_Frequently,IT Support,4,Engineering,76,1,Male,2,Technical Support,4,4932,0,Yes,1,3,4,2,2,0,4,4,2,0,4,Male
58,No,Non-Travel,Data Science,2,Mathematics,77,1,Male,1,Data Scientist,2,12487,4,No,1,4,3,3,9,1,4,8,2,9,2,Female
42,No,Non-Travel,Data Science,3,Computer Science,78,1,Male,1,Data Scientist,1,5024,2,Yes,3,2,2,3,27,2,4,1,8,4,10,Female
26,No,Travel_Rarely,Project Management,3,Business Administration,79,4,Male,1,Project Manager,4,5424,0,Yes,17,2,2,1,17,2,1,8,7,10,2,Female
45,Yes,Travel_Frequently,IT Support,3,Information Technology,80,4,Male,1,Helpdesk Analyst,1,6256,4,Yes,15,1,1,3,26,3,3,11,2,2,5,Male
23,Yes,Travel_Frequently,IT Support,4,Business Administration,81,2,Male,4,IT Specialist,1,4583,2,No,10,2,1,3,22,0,2,9,7,1,10,Male
45,Yes,Travel_Rarely,Software Development,3,Engineering,82,4,Female,4,Software Engineer,1,8804,5,No,19,1,2,0,25,2,4,10,2,3,8,Female
34,No,Travel_Rarely,Software Development,3,Business Administration,83,2,Female,4,Backend Developer,4,6238,1,Yes,3,2,3,0,27,5,3,2,8,3,7,Female
46,No,Travel_Frequently,Software Development,3,Computer Science,84,2,Male,2,Full Stack Developer,2,9780,2,Yes,6,4,2,1,37,5,4,3,1,2,7,Male
45,Yes,Travel_Rarely,IT Support,3,Business Administration,85,2,Female,4,Helpdesk Analyst,3,9300,3,No,12,2,1,0,9,4,1,13,8,5,1,Male
34,Yes,Travel_Rarely,Cybersecurity,1,Computer Science,86,4,Male,3,Network Security Specialist,1,5326,6,Yes,6,2,2,1,26,4,3,3,2,0,1,Male
60,No,Travel_Rarely,IT Support,1,Engineering,87,4,Male,2,System Administrator,1,5675,0,No,11,1,3,3,3,2,3,17,6,5,4,Male
55,Yes,Non-Travel,Data Science,1,Mathematics,88,3,Female,4,Machine Learning Engineer,1,11949,5,Yes,10,1,1,1,35,5,1,19,5,0,9,Female
45,Yes,Travel_Frequently,IT Support,1,Information Technology,89,1,Male,4,IT Specialist,4,13550,2,Yes,5,3,4,2,22,4,2,7,1,7,4,Male
34,Yes,Travel_Rarely,IT Support,1,Information Technology,90,2,Female,2,Helpdesk Analyst,3,11872,2,No,2,3,2,1,12,0,1,9,4,3,3,Male
45,Yes,Travel_Rarely,IT Support,3,Engineering,91,1,Female,3,Technical Support,3,13995,3,No,4,2,1,3,19,1,2,10,9,2,3,Male
26,No,Travel_Frequently,IT Support,3,Business Administration,92,2,Female,3,Technical Support,1,9285,6,Yes,6,3,2,3,15,4,2,13,7,9,9,Male
43,Yes,Non-Travel,IT Support,2,Business Administration,93,3,Male,2,IT Specialist,2,7902,0,No,17,1,3,2,22,2,4,7,7,8,9,Male
41,Yes,Travel_Frequently,IT Support,3,Mathematics,94,4,Female,1,System Administrator,1,7584,4,No,20,1,2,3,34,3,2,15,9,6,5,Male
29,Yes,Travel_Rarely,IT Support,2,Business Administration,95,2,Female,1,Technical Support,4,10440,4,Yes,14,3,2,1,18,2,3,8,6,3,2,Male
54,No,Travel_Frequently,Cybersecurity,3,Computer Science,96,1,Male,1,Cybersecurity Engineer,4,13839,0,Yes,19,2,3,0,22,3,4,15,6,1,3,Male
32,Yes,Travel_Rarely,Cybersecurity,4,Business Administration,97,2,Male,1,Cybersecurity Engineer,2,4508,2,Yes,14,3,2,1,29,2,3,18,1,8,8,Male
56,No,Travel_Rarely,Cybersecurity,4,Information Technology,98,1,Female,3,Network Security Specialist,3,3826,6,No,17,3,3,2,34,4,3,1,6,5,2,Male
56,Yes,Non-Travel,Data Science,2,Business Administration,99,1,Male,1,Data Scientist,2,9331,5,No,12,2,1,1,6,4,2,9,10,8,9,Female
55,No,Travel_Frequently,Cybersecurity,1,Information Technology,100,1,Male,1,Cybersecurity Engineer,1,3802,2,No,10,3,2,2,5,0,4,11,4,5,1,Male
27,Yes,Travel_Rarely,Data Science,1,Information Technology,101,4,Male,2,Data Scientist,2,8195,4,Yes,18,2,1,1,23,2,1,1,7,8,3,Female
44,Yes,Travel_Rarely,Software Development,1,Engineering,102,3,Male,3,Full Stack Developer,4,3149,4,No,10,4,4,3,32,4,2,16,8,8,10,Female
26,No,Travel_Rarely,Project Management,3,Engineering,103,4,Female,3,Project Manager,3,4459,3,No,4,4,2,0,8,5,2,14,3,1,8,Male
48,No,Travel_Frequently,Data Science,2,Information Technology,104,1,Female,1,Data Analyst,4,6908,5,Yes,6,1,4,0,11,4,4,3,10,0,3,Female
46,No,Travel_Rarely,Cybersecurity,4,Mathematics,105,1,Female,1,Network Security Specialist,1,9763,0,Yes,15,2,1,1,4,1,4,1,1,0,3,Male
24,No,Travel_Rarely,Software Development,3,Mathematics,106,4,Male,3,Backend Developer,2,5599,3,No,18,2,1,1,2,5,4,5,5,4,8,Male
38,No,Travel_Rarely,IT Support,1,Engineering,107,3,Female,4,Helpdesk Analyst,3,8640,3,No,6,1,4,0,10,4,4,10,1,3,8,Male
35,Yes,Travel_Frequently,Cybersecurity,1,Information Technology,108,1,Female,2,Network Security Specialist,2,12544,4,No,18,1,3,3,23,5,2,20,7,3,10,Male
41,No,Travel_Rarely,Project Management,2,Information Technology,109,4,Female,3,Project Manager,3,14095,1,No,14,2,2,1,28,1,4,13,5,2,8,Female
52,No,Travel_Rarely,Project Management,3,Business Administration,110,4,Female,3,Project Manager,4,9880,6,Yes,16,3,1,3,23,3,1,17,9,9,10,Male
54,Yes,Travel_Rarely,Data Science,3,Business Administration,111,2,Male,4,Data Scientist,1,14317,6,Yes,9,4,1,1,16,2,2,10,8,10,3,Female
57,Yes,Travel_Rarely,Cybersecurity,4,Business Administration,112,2,Female,1,Security Analyst,1,10258,0,Yes,1,2,2,1,16,2,1,15,4,7,4,Male
51,No,Travel_Frequently,Data Science,2,Computer Science,113,3,Female,1,Data Analyst,4,14335,1,No,3,3,1,3,18,5,3,20,2,6,3,Female
56,No,Travel_Frequently,Software Development,2,Mathematics,114,2,Female,4,Backend Developer,3,12409,0,No,1,1,3,3,28,3,1,4,2,1,10,Female
33,No,Travel_Rarely,Data Science,4,Information Technology,115,2,Male,4,Data Scientist,3,10073,0,No,15,3,1,3,36,3,2,17,5,6,1,Female
27,Yes,Travel_Frequently,IT Support,1,Computer Science,116,3,Male,1,System Administrator,2,10961,1,No,13,1,3,1,25,2,2,10,2,1,6,Male
38,No,Travel_Frequently,Data Science,4,Mathematics,117,3,Male,2,Machine Learning Engineer,1,3774,3,No,16,2,1,1,9,3,1,15,6,9,4,Female
26,No,Travel_Frequently,Cybersecurity,3,Engineering,118,1,Male,3,Network Security Specialist,2,9416,1,No,16,3,3,0,39,0,1,12,5,5,5,Male
53,No,Travel_Rarely,Data Science,4,Business Administration,119,2,Female,2,Data Analyst,1,9942,5,Yes,20,2,4,0,17,3,2,2,4,8,6,Female
32,Yes,Non-Travel,Cybersecurity,2,Business Administration,120,1,Female,3,Security Analyst,2,14623,5,Yes,18,4,4,3,34,2,2,1,3,2,6,Male
46,Yes,Travel_Frequently,Project Management,3,Business Administration,121,1,Female,1,Agile Coach,1,9243,2,No,2,4,1,1,26,4,1,8,10,9,6,Male
36,No,Non-Travel,Project Management,1,Engineering,122,3,Female,1,Scrum Master,3,10644,3,Yes,17,1,4,2,16,4,2,1,3,4,10,Male
24,No,Travel_Frequently,Cybersecurity,3,Information Technology,123,3,Female,3,Security Analyst,4,13385,1,No,10,1,2,3,24,3,2,13,3,1,6,Male
54,Yes,Non-Travel,Cybersecurity,2,Engineering,124,2,Female,2,Cybersecurity Engineer,3,4095,6,No,14,1,3,2,39,5,2,12,1,9,7,Male
43,Yes,Travel_Frequently,Project Management,3,Mathematics,125,4,Male,4,Scrum Master,1,14975,6,No,20,2,4,3,20,2,3,3,10,7,9,Male
55,Yes,Travel_Rarely,Cybersecurity,1,Business Administration,126,3,Male,3,Cybersecurity Engineer,4,3443,1,Yes,3,3,1,0,24,0,4,14,2,7,2,Male
44,No,Travel_Rarely,Software Development,2,Mathematics,127,1,Male,1,Frontend Developer,4,10198,6,No,2,4,1,3,19,4,1,6,8,10,9,Male
40,No,Travel_Rarely,Project Management,2,Information Technology,128,4,Female,3,Agile Coach,1,8125,3,Yes,12,1,2,3,38,4,1,16,4,9,3,Male
50,No,Non-Travel,IT Support,2,Business Administration,129,3,Male,3,Technical Support,3,3427,6,Yes,4,4,4,3,1,3,1,8,7,4,1,Male
40,No,Travel_Rarely,Software Development,1,Computer Science,130,3,Male,1,Frontend Developer,1,14648,0,Yes,11,1,1,3,31,2,4,18,9,10,8,Male
45,No,Travel_Frequently,Software Development,2,Business Administration,131,1,Female,1,Backend Developer,1,13159,4,Yes,13,3,4,0,24,0,1,14,10,7,5,Female
40,No,Travel_Frequently,Cybersecurity,1,Business Administration,132,2,Male,3,Cybersecurity Engineer,1,14787,6,No,19,4,4,1,23,1,2,12,9,3,4,Male
44,No,Travel_Frequently,Software Development,4,Engineering,133,4,Female,2,Full Stack Developer,1,12522,3,No,13,1,4,3,36,0,3,8,8,0,5,Female
47,Yes,Travel_Frequently,IT Support,3,Information Technology,134,2,Female,2,System Administrator,3,3379,3,No,20,1,3,1,12,2,2,9,1,5,2,Male
47,No,Travel_Rarely,Cybersecurity,3,Mathematics,135,4,Male,2,Network Security Specialist,1,14951,6,No,1,2,3,2,36,3,4,3,6,2,6,Male
36,Yes,Non-Travel,Project Management,4,Information Technology,136,3,Male,1,Project Manager,1,10516,4,Yes,13,1,2,3,39,1,2,10,5,10,5,Female
32,No,Non-Travel,IT Support,4,Mathematics,137,3,Male,4,System Administrator,1,10400,1,No,17,3,4,2,2,1,4,2,8,5,8,Male
53,Yes,Travel_Frequently,Project Management,4,Information Technology,138,4,Female,2,Project Manager,2,9824,5,No,9,1,4,0,28,5,3,10,5,5,10,Female
34,No,Travel_Rarely,Data Science,4,Computer Science,139,1,Female,4,Data Analyst,1,11439,5,No,2,2,4,3,18,0,2,16,6,8,8,Female
22,No,Non-Travel,Cybersecurity,2,Engineering,140,1,Female,3,Network Security Specialist,1,3568,1,Yes,20,3,3,1,11,5,2,17,6,4,9,Male
44,Yes,Travel_Rarely,Project Management,2,Mathematics,141,1,Male,4,Scrum Master,3,8120,0,Yes,1,3,3,0,39,1,4,4,2,7,2,Female
53,No,Non-Travel,Data Science,3,Business Administration,142,3,Male,3,Data Analyst,1,6572,0,No,2,1,1,2,39,1,3,18,3,1,10,Female
37,Yes,Non-Travel,Software Development,3,Computer Science,143,3,Male,4,Frontend Developer,1,12344,6,No,4,3,2,1,31,5,2,19,4,6,9,Male
56,No,Non-Travel,Data Science,4,Engineering,144,3,Female,2,Machine Learning Engineer,3,14485,5,Yes,3,3,3,1,7,2,2,3,5,9,9,Female
39,No,Travel_Rarely,Software Development,4,Computer Science,145,1,Male,3,Frontend Developer,3,14786,3,No,15,2,3,1,13,1,3,10,2,5,7,Female
40,Yes,Travel_Frequently,Data Science,3,Mathematics,146,2,Male,4,Machine Learning Engineer,2,3816,3,No,11,2,1,3,18,0,1,11,2,8,4,Female
41,No,Non-Travel,Cybersecurity,2,Mathematics,147,3,Male,2,Security Analyst,3,9285,3,No,10,1,3,0,20,3,4,15,4,0,2,Male
52,No,Non-Travel,Software Development,3,Business Administration,148,1,Female,2,Backend Developer,1,11489,2,Yes,14,2,2,2,16,3,1,15,3,4,1,Female
31,Yes,Travel_Rarely,Software Development,3,Information Technology,149,1,Female,4,Frontend Developer,1,4134,5,Yes,15,4,1,0,24,0,3,20,1,8,9,Female
30,Yes,Non-Travel,Cybersecurity,2,Information Technology,150,1,Male,4,Security Analyst,2,3183,3,Yes,2,2,3,0,17,2,3,13,7,5,1,Male
48,Yes,Travel_Frequently,Software Development,1,Engineering,151,3,Male,3,Frontend Developer,4,12713,5,No,10,4,4,1,32,5,3,14,6,5,6,Male
32,No,Travel_Rarely,Data Science,4,Mathematics,152,1,Male,3,Data Scientist,3,9129,6,No,1,3,3,0,10,1,1,1,9,4,6,Female
23,No,Travel_Frequently,Project Management,3,Engineering,153,2,Male,2,Agile Coach,4,6089,3,Yes,7,3,1,2,12,4,1,8,7,1,2,Female
59,Yes,Non-Travel,Cybersecurity,1,Engineering,154,4,Female,2,Network Security Specialist,2,3685,3,Yes,18,1,2,1,24,5,4,1,10,1,10,Male
53,No,Non-Travel,Software Development,4,Engineering,155,4,Female,4,Frontend Developer,2,4000,5,No,18,1,2,3,19,0,4,7,2,10,6,Female
48,Yes,Travel_Frequently,IT Support,3,Engineering,156,4,Female,1,System Administrator,2,14510,2,No,5,2,2,1,25,0,4,4,1,5,7,Male
26,No,Non-Travel,IT Support,1,Computer Science,157,4,Female,3,System Administrator,3,8955,3,Yes,19,4,4,3,10,3,1,6,6,4,1,Male
23,Yes,Non-Travel,Data Science,2,Mathematics,158,2,Male,2,Data Analyst,2,10674,4,Yes,14,4,3,1,11,4,2,17,7,8,6,Female
23,No,Travel_Frequently,Software Development,2,Engineering,159,4,Female,1,Software Engineer,1,6330,3,Yes,15,1,2,0,36,0,3,14,4,3,4,Male
50,Yes,Travel_Frequently,IT Support,3,Mathematics,160,3,Female,3,Technical Support,1,7285,5,Yes,7,4,1,2,2,4,1,7,3,10,5,Male
37,No,Non-Travel,Software Development,3,Engineering,161,2,Male,1,Software Engineer,1,12008,2,Yes,18,4,1,2,27,2,1,6,7,2,8,Male
44,Yes,Non-Travel,Data Science,4,Mathematics,162,3,Female,4,Data Analyst,2,5043,4,No,20,3,3,0,31,4,1,9,1,0,3,Female
22,No,Travel_Frequently,Software Development,4,Computer Science,163,1,Male,4,Full Stack Developer,4,12054,0,Yes,11,1,2,0,15,4,4,18,6,7,7,Male
28,No,Travel_Frequently,Data Science,2,Business Administration,164,4,Male,1,Data Analyst,4,9378,0,No,7,3,3,1,28,1,1,5,10,7,3,Female
35,Yes,Travel_Rarely,Data Science,3,Information Technology,165,2,Male,4,Data Analyst,3,13641,4,No,2,3,4,3,38,5,4,12,6,0,8,Female
54,No,Travel_Frequently,Project Management,3,Engineering,166,4,Male,4,Scrum Master,1,12009,3,Yes,10,2,2,0,16,5,1,3,2,10,7,Male
45,No,Travel_Rarely,Cybersecurity,4,Information Technology,167,3,Female,2,Network Security Specialist,2,12847,2,Yes,12,2,1,2,9,4,4,10,1,10,5,Male
59,No,Travel_Frequently,Cybersecurity,1,Mathematics,168,1,Female,2,Network Security Specialist,4,7407,4,No,2,1,4,0,2,3,3,13,3,8,6,Male
44,No,Travel_Frequently,Project Management,4,Mathematics,169,1,Male,1,Agile Coach,4,3237,3,No,20,1,2,1,18,3,1,7,8,4,2,Female
58,Yes,Non-Travel,IT Support,1,Mathematics,170,3,Female,1,System Administrator,4,12534,2,No,18,4,2,3,22,4,3,14,5,3,4,Male
22,Yes,Travel_Frequently,Cybersecurity,3,Computer Science,171,3,Male,1,Network Security Specialist,3,9756,6,No,19,1,1,0,28,2,3,12,2,4,10,Male
34,No,Non-Travel,Software Development,2,Information Technology,172,3,Male,1,Frontend Developer,1,8891,1,Yes,14,3,4,3,20,4,3,20,2,0,2,Male
32,No,Travel_Rarely,Data Science,2,Business Administration,173,3,Male,1,Data Analyst,1,12568,1,No,9,3,1,2,17,5,3,3,9,9,6,Female
